datetime,main_aqi,components_co,components_no,components_no2,components_o3,components_so2,components_pm2_5,components_pm10,components_nh3,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,surface_pressure,wind_speed_10m,wind_direction_10m,shortwave_radiation,city
2022-03-01 12:00:00,5,1161.58,4.19,40.1,111.58,7.87,108.24,158.5,9.25,28.8,32.0,10.5,0.0,1015.2,2.82,247.0,791,Karachi
2021-10-08 01:00:00,4,620.84,0.0,14.22,48.64,4.95,34.97,76.4,6.9,18.0145,16.283527,-7.9855003,0.0,837.9215,3.8939953,146.3099,0,Quetta
2023-11-01 04:00:00,5,4539.49,82.25,81.57,1.04,19.31,174.82,220.74,45.09,21.9,76.0,17.5,0.0,980.0,3.1,135.0,301,Peshawar
2023-10-22 06:00:00,5,1482.01,18.1,39.76,70.81,8.58,83.81,143.15,14.82,20.6645,20.868147,-2.5355,0.0,845.9597,11.480557,318.81418,684,Quetta
2023-08-07 21:00:00,3,1441.96,0.25,39.76,8.05,3.43,47.71,61.04,16.21,27.1,76.0,22.5,0.2,958.1,6.4,128.0,0,Peshawar
2023-08-11 14:00:00,5,195.26,0.04,2.16,103.0,0.51,61.76,345.32,0.63,32.614502,13.180119,0.81450003,0.0,838.0642,7.24486,243.43501,85,Quetta
2022-06-11 00:00:00,4,360.49,0.0,14.05,56.51,1.83,17.24,51.18,10.26,19.9145,38.915714,5.5145,0.0,830.5674,8.825508,168.23174,0,Quetta
2021-11-07 19:00:00,5,4859.92,12.74,172.73,0.26,26.94,228.7,286.61,89.17,20.4,22.0,-2.0,0.0,975.0,4.7,9.0,0,Peshawar
2023-06-30 05:00:00,5,854.49,0.54,6.34,214.58,7.51,52.0,55.27,3.39,30.3,62.0,22.2,0.0,962.8,6.8,65.0,579,Peshawar
2022-10-01 14:00:00,5,3150.94,0.0,124.75,53.64,34.33,102.26,133.71,19.76,32.8,32.0,13.9,0.0,945.7,10.0,195.0,725,Islamabad
2023-06-11 23:00:00,5,4165.65,45.15,137.09,0.0,18.36,121.67,153.59,85.12,27.5,69.0,21.3,0.0,941.7,3.7,349.0,0,Islamabad
2021-12-21 09:00:00,5,3524.78,4.64,81.57,226.02,106.81,420.88,456.56,10.64,9.5,85.0,7.1,0.0,992.5,5.4,127.0,178,Lahore
2022-04-27 12:00:00,5,741.0,0.67,20.39,248.91,23.37,48.88,69.62,13.55,39.0,15.0,7.3,0.0,981.1,8.4,290.0,887,Lahore
2022-02-18 07:00:00,4,1148.22,2.99,15.42,130.18,4.17,29.12,35.31,8.36,19.4,23.0,-2.3,0.0,976.0,4.4,325.0,590,Peshawar
2022-04-27 18:00:00,5,5714.42,50.51,135.72,0.0,59.6,285.7,370.06,202.66,36.6,17.0,7.2,0.0,977.4,8.9,256.0,129,Lahore
2023-12-15 10:00:00,5,5874.63,8.61,168.62,98.71,76.29,582.67,670.69,24.83,15.4,75.0,11.0,0.0,994.4,3.7,169.0,288,Lahore
2022-08-03 18:00:00,5,3124.24,31.29,90.48,0.0,9.3,87.43,118.81,51.17,32.5,49.0,20.4,0.0,961.7,7.3,340.0,0,Peshawar
2022-05-07 18:00:00,4,250.34,0.0,2.68,88.69,1.34,24.55,66.72,1.17,26.5645,11.767727,-5.4355,0.0,840.5558,3.4152596,198.43504,0,Quetta
2021-12-19 22:00:00,5,7049.56,13.52,160.4,0.14,24.32,542.76,600.89,76.0,9.5,16.0,-15.1,0.0,978.4,1.6,63.0,0,Peshawar
2024-04-24 10:00:00,5,640.87,0.95,13.54,191.69,17.88,36.17,44.24,10.51,28.9,43.0,15.2,0.0,983.1,2.1,31.0,677,Lahore
2023-02-14 00:00:00,5,4859.92,81.36,58.26,0.0,22.65,353.11,485.19,105.38,11.0,41.0,-1.7,0.0,990.7,7.6,270.0,0,Lahore
2024-02-18 19:00:00,4,1321.79,0.0,39.76,38.62,5.3,68.74,82.74,7.22,11.8,97.0,11.3,2.9,970.9,4.0,10.0,0,Peshawar
2023-01-22 17:00:00,3,867.84,0.0,23.31,60.08,4.53,41.38,55.87,14.31,-2.2855,65.20835,-7.9355,0.0,837.42267,2.0991426,120.96369,0,Quetta
2024-01-11 06:00:00,5,1441.96,14.98,37.36,66.52,16.69,77.26,91.46,26.6,13.6145,29.817959,-3.7354999,0.0,842.29675,1.2979984,56.309914,519,Quetta
2023-09-19 13:00:00,3,647.54,0.96,33.59,11.98,3.76,13.02,53.21,3.17,34.2,58.0,24.8,0.0,1002.9,4.9,271.0,833,Karachi
2024-03-25 01:00:00,2,343.8,0.0,6.51,72.24,4.05,17.27,38.0,3.04,24.2,91.0,22.6,0.0,1010.9,0.94,238.0,0,Karachi
2022-02-10 19:00:00,5,6195.07,54.54,186.44,0.0,36.72,309.19,388.15,194.55,12.4,23.0,-8.2,0.0,978.2,6.4,286.0,0,Peshawar
2023-03-18 16:00:00,4,1869.2,0.22,63.06,20.38,6.26,67.76,97.84,49.14,19.0,69.0,13.2,0.0,972.9,3.9,304.0,0,Peshawar
2022-11-26 07:00:00,5,2056.12,2.93,33.59,211.72,39.58,247.72,273.51,8.99,9.8,99.0,9.7,0.0,988.3,6.8,288.0,3,Lahore
2024-06-20 11:00:00,3,330.45,0.04,5.91,127.32,2.77,15.52,35.35,4.05,38.7,25.0,15.2,0.2,956.3,15.3,214.0,534,Peshawar
2021-12-08 20:00:00,5,1108.17,0.01,29.13,23.6,5.13,56.19,84.26,9.12,6.5145,43.639526,-4.9855,0.0,840.6492,2.7416782,156.80138,0,Quetta
2024-03-14 03:00:00,4,1949.31,5.98,68.55,41.84,21.22,73.74,112.43,35.46,23.1,32.0,5.5,0.0,1012.0,2.19,317.0,0,Karachi
2022-11-16 08:00:00,5,907.9,2.4,19.19,154.5,30.99,52.77,66.48,6.14,14.8,84.0,12.2,0.0,989.8,6.5,276.0,96,Lahore
2024-06-28 06:00:00,5,867.84,0.49,7.2,231.74,9.54,69.82,83.18,17.48,35.7,44.0,21.6,0.0,962.0,7.5,107.0,834,Peshawar
2023-05-30 06:00:00,4,574.11,0.64,6.08,151.63,8.82,33.84,40.69,9.37,22.5,82.0,19.2,0.0,985.4,11.5,314.0,24,Lahore
2022-03-03 09:00:00,2,594.14,0.62,15.42,107.29,13.95,9.38,11.17,4.75,13.5,72.0,8.5,0.5,959.3,10.4,76.0,63,Islamabad
2022-03-08 00:00:00,5,1815.8,1.96,45.24,4.69,3.87,84.56,103.91,27.87,15.5,61.0,8.0,0.0,957.4,7.7,349.0,0,Islamabad
